ID,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
388,BanetteMega Banette,Ghost,,555,64,165,75,93,83,75,3,FALSE
389,Duskull,Ghost,,295,20,40,90,30,90,25,3,FALSE
390,Dusclops,Ghost,,455,40,70,130,60,130,25,3,FALSE
391,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,FALSE
392,Chimecho,Psychic,,425,65,50,70,95,80,65,3,FALSE
393,Absol,Dark,,465,65,130,60,75,60,75,3,FALSE
394,AbsolMega Absol,Dark,,565,65,150,60,115,60,115,3,FALSE
395,Wynaut,Psychic,,260,95,23,48,23,48,23,3,FALSE
396,Snorunt,Ice,,300,50,50,50,50,50,50,3,FALSE
397,Glalie,Ice,,480,80,80,80,80,80,80,3,FALSE
398,GlalieMega Glalie,Ice,,580,80,120,80,120,80,100,3,FALSE
399,Spheal,Ice,Water,290,70,40,50,55,50,25,3,FALSE
400,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,FALSE
401,Walrein,Ice,Water,530,110,80,90,95,90,65,3,FALSE
402,Clamperl,Water,,345,35,64,85,74,55,32,3,FALSE
403,Huntail,Water,,485,55,104,105,94,75,52,3,FALSE
404,Gorebyss,Water,,485,55,84,105,114,75,52,3,FALSE
405,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,FALSE
406,Luvdisc,Water,,330,43,30,55,40,65,97,3,FALSE
407,Bagon,Dragon,,300,45,75,60,40,30,50,3,FALSE
408,Shelgon,Dragon,,420,65,95,100,60,50,50,3,FALSE
409,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,FALSE
410,SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,FALSE
411,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,FALSE
412,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,FALSE
413,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,FALSE
414,MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,FALSE
415,Regirock,Rock,,580,80,100,200,50,100,50,3,TRUE
416,Regice,Ice,,580,80,50,100,100,200,50,3,TRUE
417,Registeel,Steel,,580,80,75,150,75,150,50,3,TRUE
418,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,TRUE
419,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,TRUE
420,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,TRUE
421,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,TRUE
422,Kyogre,Water,,670,100,100,90,150,140,90,3,TRUE
423,KyogrePrimal Kyogre,Water,,770,100,150,90,180,160,90,3,TRUE
424,Groudon,Ground,,670,100,150,140,100,90,90,3,TRUE
425,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,TRUE
426,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,TRUE
427,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,TRUE
428,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,TRUE
429,DeoxysNormal Forme,Psychic,,600,50,150,50,150,50,150,3,TRUE
430,DeoxysAttack Forme,Psychic,,600,50,180,20,180,20,150,3,TRUE
431,DeoxysDefense Forme,Psychic,,600,50,70,160,70,160,90,3,TRUE
432,DeoxysSpeed Forme,Psychic,,600,50,95,90,95,90,180,3,TRUE
433,Turtwig,Grass,,318,55,68,64,45,55,31,4,FALSE
434,Grotle,Grass,,405,75,89,85,55,65,36,4,FALSE
435,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,FALSE
436,Chimchar,Fire,,309,44,58,44,58,44,61,4,FALSE
437,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,FALSE
438,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,FALSE
439,Piplup,Water,,314,53,51,53,61,56,40,4,FALSE
440,Prinplup,Water,,405,64,66,68,81,76,50,4,FALSE
441,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,FALSE
442,Starly,Normal,Flying,245,40,55,30,30,30,60,4,FALSE
443,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,FALSE
444,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,FALSE
445,Bidoof,Normal,,250,59,45,40,35,40,31,4,FALSE
446,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,FALSE
447,Kricketot,Bug,,194,37,25,41,25,41,25,4,FALSE
448,Kricketune,Bug,,384,77,85,51,55,51,65,4,FALSE
449,Shinx,Electric,,263,45,65,34,40,34,45,4,FALSE
450,Luxio,Electric,,363,60,85,49,60,49,60,4,FALSE
451,Luxray,Electric,,523,80,120,79,95,79,70,4,FALSE
452,Budew,Grass,Poison,280,40,30,35,50,70,55,4,FALSE
453,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,FALSE
454,Cranidos,Rock,,350,67,125,40,30,30,58,4,FALSE
455,Rampardos,Rock,,495,97,165,60,65,50,58,4,FALSE
456,Shieldon,Rock,Steel,350,30,42,118,42,88,30,4,FALSE
457,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,FALSE
458,Burmy,Bug,,224,40,29,45,29,45,36,4,FALSE
459,WormadamPlant Cloak,Bug,Grass,424,60,59,85,79,105,36,4,FALSE
460,WormadamSandy Cloak,Bug,Ground,424,60,79,105,59,85,36,4,FALSE
461,WormadamTrash Cloak,Bug,Steel,424,60,69,95,69,95,36,4,FALSE
462,Mothim,Bug,Flying,424,70,94,50,94,50,66,4,FALSE
463,Combee,Bug,Flying,244,30,30,42,30,42,70,4,FALSE
464,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,FALSE
465,Pachirisu,Electric,,405,60,45,70,45,90,95,4,FALSE
466,Buizel,Water,,330,55,65,35,60,30,85,4,FALSE
467,Floatzel,Water,,495,85,105,55,85,50,115,4,FALSE
468,Cherubi,Grass,,275,45,35,45,62,53,35,4,FALSE
469,Cherrim,Grass,,450,70,60,70,87,78,85,4,FALSE
470,Shellos,Water,,325,76,48,48,57,62,34,4,FALSE
471,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,FALSE
472,Ambipom,Normal,,482,75,100,66,60,66,115,4,FALSE
473,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,FALSE
474,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,FALSE
475,Buneary,Normal,,350,55,66,44,44,56,85,4,FALSE
476,Lopunny,Normal,,480,65,76,84,54,96,105,4,FALSE
477,LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,FALSE
478,Mismagius,Ghost,,495,60,60,60,105,105,105,4,FALSE
479,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,FALSE
480,Glameow,Normal,,310,49,55,42,42,37,85,4,FALSE
481,Purugly,Normal,,452,71,82,64,64,59,112,4,FALSE
482,Chingling,Psychic,,285,45,30,50,65,50,45,4,FALSE
483,Stunky,Poison,Dark,329,63,63,47,41,41,74,4,FALSE
484,Skuntank,Poison,Dark,479,103,93,67,71,61,84,4,FALSE
485,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,4,FALSE
486,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,FALSE
487,Bonsly,Rock,,290,50,80,95,10,45,10,4,FALSE
488,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,4,FALSE
489,Happiny,Normal,,220,100,5,5,15,65,30,4,FALSE
490,Chatot,Normal,Flying,411,76,65,45,92,42,91,4,FALSE
491,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,FALSE
492,Gible,Dragon,Ground,300,58,70,45,40,45,42,4,FALSE
493,Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,FALSE
494,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,FALSE
495,GarchompMega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,FALSE
496,Munchlax,Normal,,390,135,85,40,40,85,5,4,FALSE
497,Riolu,Fighting,,285,40,70,40,35,40,60,4,FALSE
498,Lucario,Fighting,Steel,525,70,110,70,115,70,90,4,FALSE
499,LucarioMega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,FALSE
500,Hippopotas,Ground,,330,68,72,78,38,42,32,4,FALSE
501,Hippowdon,Ground,,525,108,112,118,68,72,47,4,FALSE
502,Skorupi,Poison,Bug,330,40,50,90,30,55,65,4,FALSE
503,Drapion,Poison,Dark,500,70,90,110,60,75,95,4,FALSE
504,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,4,FALSE
505,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,FALSE
506,Carnivine,Grass,,454,74,100,72,90,72,46,4,FALSE
507,Finneon,Water,,330,49,49,56,49,61,66,4,FALSE
508,Lumineon,Water,,460,69,69,76,69,86,91,4,FALSE
509,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,FALSE
510,Snover,Grass,Ice,334,60,62,50,62,60,40,4,FALSE
511,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,FALSE
512,AbomasnowMega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,FALSE
513,Weavile,Dark,Ice,510,70,120,65,45,85,125,4,FALSE
514,Magnezone,Electric,Steel,535,70,70,115,130,90,60,4,FALSE
515,Lickilicky,Normal,,515,110,85,95,80,95,50,4,FALSE
516,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,FALSE
517,Tangrowth,Grass,,535,100,100,125,110,50,50,4,FALSE
518,Electivire,Electric,,540,75,123,67,95,85,95,4,FALSE
519,Magmortar,Fire,,540,75,95,67,125,95,83,4,FALSE
520,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,4,FALSE
521,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,FALSE
522,Leafeon,Grass,,525,65,110,130,60,65,95,4,FALSE
523,Glaceon,Ice,,525,65,60,110,130,95,65,4,FALSE
524,Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,FALSE
525,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,FALSE
526,Porygon-Z,Normal,,535,85,80,70,135,75,90,4,FALSE
527,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,FALSE
528,GalladeMega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,FALSE
529,Probopass,Rock,Steel,525,60,55,145,75,150,40,4,FALSE
530,Dusknoir,Ghost,,525,45,100,135,65,135,45,4,FALSE
531,Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,FALSE
532,Rotom,Electric,Ghost,440,50,50,77,95,77,91,4,FALSE
533,RotomHeat Rotom,Electric,Fire,520,50,65,107,105,107,86,4,FALSE
534,RotomWash Rotom,Electric,Water,520,50,65,107,105,107,86,4,FALSE
535,RotomFrost Rotom,Electric,Ice,520,50,65,107,105,107,86,4,FALSE
536,RotomFan Rotom,Electric,Flying,520,50,65,107,105,107,86,4,FALSE
537,RotomMow Rotom,Electric,Grass,520,50,65,107,105,107,86,4,FALSE
538,Uxie,Psychic,,580,75,75,130,75,130,95,4,TRUE
539,Mesprit,Psychic,,580,80,105,105,105,105,80,4,TRUE
540,Azelf,Psychic,,580,75,125,70,125,70,115,4,TRUE
541,Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,TRUE
542,Palkia,Water,Dragon,680,90,120,100,150,120,100,4,TRUE
543,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,TRUE
544,Regigigas,Normal,,670,110,160,110,80,110,100,4,TRUE
545,GiratinaAltered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4,TRUE
546,GiratinaOrigin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,TRUE
547,Cresselia,Psychic,,600,120,70,120,75,130,85,4,FALSE
548,Phione,Water,,480,80,80,80,80,80,80,4,FALSE
549,Manaphy,Water,,600,100,100,100,100,100,100,4,FALSE
550,Darkrai,Dark,,600,70,90,90,135,90,125,4,TRUE
551,ShayminLand Forme,Grass,,600,100,100,100,100,100,100,4,TRUE
552,ShayminSky Forme,Grass,Flying,600,100,103,75,120,75,127,4,TRUE
553,Arceus,Normal,,720,120,120,120,120,120,120,4,TRUE
554,Victini,Psychic,Fire,600,100,100,100,100,100,100,5,TRUE
555,Snivy,Grass,,308,45,45,55,45,55,63,5,FALSE
556,Servine,Grass,,413,60,60,75,60,75,83,5,FALSE
557,Serperior,Grass,,528,75,75,95,75,95,113,5,FALSE
558,Tepig,Fire,,308,65,63,45,45,45,45,5,FALSE
559,Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,FALSE
560,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,FALSE
561,Oshawott,Water,,308,55,55,45,63,45,45,5,FALSE
562,Dewott,Water,,413,75,75,60,83,60,60,5,FALSE
563,Samurott,Water,,528,95,100,85,108,70,70,5,FALSE
564,Patrat,Normal,,255,45,55,39,35,39,42,5,FALSE
565,Watchog,Normal,,420,60,85,69,60,69,77,5,FALSE
566,Lillipup,Normal,,275,45,60,45,25,45,55,5,FALSE
567,Herdier,Normal,,370,65,80,65,35,65,60,5,FALSE
568,Stoutland,Normal,,500,85,110,90,45,90,80,5,FALSE
569,Purrloin,Dark,,281,41,50,37,50,37,66,5,FALSE
570,Liepard,Dark,,446,64,88,50,88,50,106,5,FALSE
571,Pansage,Grass,,316,50,53,48,53,48,64,5,FALSE
572,Simisage,Grass,,498,75,98,63,98,63,101,5,FALSE
573,Pansear,Fire,,316,50,53,48,53,48,64,5,FALSE
574,Simisear,Fire,,498,75,98,63,98,63,101,5,FALSE
575,Panpour,Water,,316,50,53,48,53,48,64,5,FALSE
576,Simipour,Water,,498,75,98,63,98,63,101,5,FALSE
577,Munna,Psychic,,292,76,25,45,67,55,24,5,FALSE
578,Musharna,Psychic,,487,116,55,85,107,95,29,5,FALSE
579,Pidove,Normal,Flying,264,50,55,50,36,30,43,5,FALSE
580,Tranquill,Normal,Flying,358,62,77,62,50,42,65,5,FALSE
581,Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,FALSE
582,Blitzle,Electric,,295,45,60,32,50,32,76,5,FALSE
583,Zebstrika,Electric,,497,75,100,63,80,63,116,5,FALSE
584,Roggenrola,Rock,,280,55,75,85,25,25,15,5,FALSE
585,Boldore,Rock,,390,70,105,105,50,40,20,5,FALSE
586,Gigalith,Rock,,515,85,135,130,60,80,25,5,FALSE
587,Woobat,Psychic,Flying,313,55,45,43,55,43,72,5,FALSE
588,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,5,FALSE
589,Drilbur,Ground,,328,60,85,40,30,45,68,5,FALSE
590,Excadrill,Ground,Steel,508,110,135,60,50,65,88,5,FALSE
591,Audino,Normal,,445,103,60,86,60,86,50,5,FALSE
592,AudinoMega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,FALSE
593,Timburr,Fighting,,305,75,80,55,25,35,35,5,FALSE
594,Gurdurr,Fighting,,405,85,105,85,40,50,40,5,FALSE
595,Conkeldurr,Fighting,,505,105,140,95,55,65,45,5,FALSE
596,Tympole,Water,,294,50,50,40,50,40,64,5,FALSE
597,Palpitoad,Water,Ground,384,75,65,55,65,55,69,5,FALSE
598,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,FALSE
599,Throh,Fighting,,465,120,100,85,30,85,45,5,FALSE
600,Sawk,Fighting,,465,75,125,75,30,75,85,5,FALSE
601,Sewaddle,Bug,Grass,310,45,53,70,40,60,42,5,FALSE
602,Swadloon,Bug,Grass,380,55,63,90,50,80,42,5,FALSE
603,Leavanny,Bug,Grass,500,75,103,80,70,80,92,5,FALSE
604,Venipede,Bug,Poison,260,30,45,59,30,39,57,5,FALSE
605,Whirlipede,Bug,Poison,360,40,55,99,40,79,47,5,FALSE
606,Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,FALSE
607,Cottonee,Grass,Fairy,280,40,27,60,37,50,66,5,FALSE
608,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,FALSE
609,Petilil,Grass,,280,45,35,50,70,50,30,5,FALSE
610,Lilligant,Grass,,480,70,60,75,110,75,90,5,FALSE
611,Basculin,Water,,460,70,92,65,80,55,98,5,FALSE
612,Sandile,Ground,Dark,292,50,72,35,35,35,65,5,FALSE
613,Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,FALSE
614,Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,FALSE
615,Darumaka,Fire,,315,70,90,45,15,45,50,5,FALSE
616,DarmanitanStandard Mode,Fire,,480,105,140,55,30,55,95,5,FALSE
617,DarmanitanZen Mode,Fire,Psychic,540,105,30,105,140,105,55,5,FALSE
618,Maractus,Grass,,461,75,86,67,106,67,60,5,FALSE
619,Dwebble,Bug,Rock,325,50,65,85,35,35,55,5,FALSE
620,Crustle,Bug,Rock,475,70,95,125,65,75,45,5,FALSE
621,Scraggy,Dark,Fighting,348,50,75,70,35,70,48,5,FALSE
622,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,FALSE
623,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,FALSE
624,Yamask,Ghost,,303,38,30,85,55,65,30,5,FALSE
625,Cofagrigus,Ghost,,483,58,50,145,95,105,30,5,FALSE
626,Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,FALSE
627,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,FALSE
628,Archen,Rock,Flying,401,55,112,45,74,45,70,5,FALSE
629,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,FALSE
630,Trubbish,Poison,,329,50,50,62,40,62,65,5,FALSE
631,Garbodor,Poison,,474,80,95,82,60,82,75,5,FALSE
632,Zorua,Dark,,330,40,65,40,80,40,65,5,FALSE
633,Zoroark,Dark,,510,60,105,60,120,60,105,5,FALSE
634,Minccino,Normal,,300,55,50,40,40,40,75,5,FALSE
635,Cinccino,Normal,,470,75,95,60,65,60,115,5,FALSE
636,Gothita,Psychic,,290,45,30,50,55,65,45,5,FALSE
637,Gothorita,Psychic,,390,60,45,70,75,85,55,5,FALSE
638,Gothitelle,Psychic,,490,70,55,95,95,110,65,5,FALSE
639,Solosis,Psychic,,290,45,30,40,105,50,20,5,FALSE
640,Duosion,Psychic,,370,65,40,50,125,60,30,5,FALSE
641,Reuniclus,Psychic,,490,110,65,75,125,85,30,5,FALSE
642,Ducklett,Water,Flying,305,62,44,50,44,50,55,5,FALSE
643,Swanna,Water,Flying,473,75,87,63,87,63,98,5,FALSE
644,Vanillite,Ice,,305,36,50,50,65,60,44,5,FALSE
645,Vanillish,Ice,,395,51,65,65,80,75,59,5,FALSE
646,Vanilluxe,Ice,,535,71,95,85,110,95,79,5,FALSE
647,Deerling,Normal,Grass,335,60,60,50,40,50,75,5,FALSE
648,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,FALSE
649,Emolga,Electric,Flying,428,55,75,60,75,60,103,5,FALSE
650,Karrablast,Bug,,315,50,75,45,40,45,60,5,FALSE
651,Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,FALSE
652,Foongus,Grass,Poison,294,69,55,45,55,55,15,5,FALSE
653,Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,FALSE
654,Frillish,Water,Ghost,335,55,40,50,65,85,40,5,FALSE
655,Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,FALSE
656,Alomomola,Water,,470,165,75,80,40,45,65,5,FALSE
657,Joltik,Bug,Electric,319,50,47,50,57,50,65,5,FALSE
658,Galvantula,Bug,Electric,472,70,77,60,97,60,108,5,FALSE
659,Ferroseed,Grass,Steel,305,44,50,91,24,86,10,5,FALSE
660,Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,5,FALSE
661,Klink,Steel,,300,40,55,70,45,60,30,5,FALSE
662,Klang,Steel,,440,60,80,95,70,85,50,5,FALSE
663,Klinklang,Steel,,520,60,100,115,70,85,90,5,FALSE
664,Tynamo,Electric,,275,35,55,40,45,40,60,5,FALSE
665,Eelektrik,Electric,,405,65,85,70,75,70,40,5,FALSE
666,Eelektross,Electric,,515,85,115,80,105,80,50,5,FALSE
667,Elgyem,Psychic,,335,55,55,55,85,55,30,5,FALSE
668,Beheeyem,Psychic,,485,75,75,75,125,95,40,5,FALSE
669,Litwick,Ghost,Fire,275,50,30,55,65,55,20,5,FALSE
670,Lampent,Ghost,Fire,370,60,40,60,95,60,55,5,FALSE
671,Chandelure,Ghost,Fire,520,60,55,90,145,90,80,5,FALSE
672,Axew,Dragon,,320,46,87,60,30,40,57,5,FALSE
673,Fraxure,Dragon,,410,66,117,70,40,50,67,5,FALSE
674,Haxorus,Dragon,,540,76,147,90,60,70,97,5,FALSE
675,Cubchoo,Ice,,305,55,70,40,60,40,40,5,FALSE
676,Beartic,Ice,,485,95,110,80,70,80,50,5,FALSE
677,Cryogonal,Ice,,485,70,50,30,95,135,105,5,FALSE
678,Shelmet,Bug,,305,50,40,85,40,65,25,5,FALSE
679,Accelgor,Bug,,495,80,70,40,100,60,145,5,FALSE
680,Stunfisk,Ground,Electric,471,109,66,84,81,99,32,5,FALSE
681,Mienfoo,Fighting,,350,45,85,50,55,50,65,5,FALSE
682,Mienshao,Fighting,,510,65,125,60,95,60,105,5,FALSE
683,Druddigon,Dragon,,485,77,120,90,60,90,48,5,FALSE
684,Golett,Ground,Ghost,303,59,74,50,35,50,35,5,FALSE
685,Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,FALSE
686,Pawniard,Dark,Steel,340,45,85,70,40,40,60,5,FALSE
687,Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,FALSE
688,Bouffalant,Normal,,490,95,110,95,40,95,55,5,FALSE
689,Rufflet,Normal,Flying,350,70,83,50,37,50,60,5,FALSE
690,Braviary,Normal,Flying,510,100,123,75,57,75,80,5,FALSE
691,Vullaby,Dark,Flying,370,70,55,75,45,65,60,5,FALSE
692,Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,5,FALSE
693,Heatmor,Fire,,484,85,97,66,105,66,65,5,FALSE
694,Durant,Bug,Steel,484,58,109,112,48,48,109,5,FALSE
695,Deino,Dark,Dragon,300,52,65,50,45,50,38,5,FALSE
696,Zweilous,Dark,Dragon,420,72,85,70,65,70,58,5,FALSE
697,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,FALSE
698,Larvesta,Bug,Fire,360,55,85,55,50,55,60,5,FALSE
699,Volcarona,Bug,Fire,550,85,60,65,135,105,100,5,FALSE
700,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,TRUE
701,Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,TRUE
702,Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,TRUE
703,TornadusIncarnate Forme,Flying,,580,79,115,70,125,80,111,5,TRUE
704,TornadusTherian Forme,Flying,,580,79,100,80,110,90,121,5,TRUE
705,ThundurusIncarnate Forme,Electric,Flying,580,79,115,70,125,80,111,5,TRUE
706,ThundurusTherian Forme,Electric,Flying,580,79,105,70,145,80,101,5,TRUE
707,Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,TRUE
708,Zekrom,Dragon,Electric,680,100,150,120,120,100,90,5,TRUE
709,LandorusIncarnate Forme,Ground,Flying,600,89,125,90,115,80,101,5,TRUE
710,LandorusTherian Forme,Ground,Flying,600,89,145,90,105,80,91,5,TRUE
711,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,TRUE
712,KyuremBlack Kyurem,Dragon,Ice,700,125,170,100,120,90,95,5,TRUE
713,KyuremWhite Kyurem,Dragon,Ice,700,125,120,90,170,100,95,5,TRUE
714,KeldeoOrdinary Forme,Water,Fighting,580,91,72,90,129,90,108,5,FALSE
715,KeldeoResolute Forme,Water,Fighting,580,91,72,90,129,90,108,5,FALSE
716,MeloettaAria Forme,Normal,Psychic,600,100,77,77,128,128,90,5,FALSE
717,MeloettaPirouette Forme,Normal,Fighting,600,100,128,90,77,77,128,5,FALSE
718,Genesect,Bug,Steel,600,71,120,95,120,95,99,5,FALSE
719,Chespin,Grass,,313,56,61,65,48,45,38,6,FALSE
720,Quilladin,Grass,,405,61,78,95,56,58,57,6,FALSE
721,Chesnaught,Grass,Fighting,530,88,107,122,74,75,64,6,FALSE
722,Fennekin,Fire,,307,40,45,40,62,60,60,6,FALSE
723,Braixen,Fire,,409,59,59,58,90,70,73,6,FALSE
724,Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,FALSE
725,Froakie,Water,,314,41,56,40,62,44,71,6,FALSE
726,Frogadier,Water,,405,54,63,52,83,56,97,6,FALSE
727,Greninja,Water,Dark,530,72,95,67,103,71,122,6,FALSE
728,Bunnelby,Normal,,237,38,36,38,32,36,57,6,FALSE
729,Diggersby,Normal,Ground,423,85,56,77,50,77,78,6,FALSE
730,Fletchling,Normal,Flying,278,45,50,43,40,38,62,6,FALSE
731,Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,FALSE
732,Talonflame,Fire,Flying,499,78,81,71,74,69,126,6,FALSE
733,Scatterbug,Bug,,200,38,35,40,27,25,35,6,FALSE
734,Spewpa,Bug,,213,45,22,60,27,30,29,6,FALSE
735,Vivillon,Bug,Flying,411,80,52,50,90,50,89,6,FALSE
736,Litleo,Fire,Normal,369,62,50,58,73,54,72,6,FALSE
737,Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,FALSE
738,Flabébé,Fairy,,303,44,38,39,61,79,42,6,FALSE
739,Floette,Fairy,,371,54,45,47,75,98,52,6,FALSE
740,Florges,Fairy,,552,78,65,68,112,154,75,6,FALSE
741,Skiddo,Grass,,350,66,65,48,62,57,52,6,FALSE
742,Gogoat,Grass,,531,123,100,62,97,81,68,6,FALSE
743,Pancham,Fighting,,348,67,82,62,46,48,43,6,FALSE
744,Pangoro,Fighting,Dark,495,95,124,78,69,71,58,6,FALSE
745,Furfrou,Normal,,472,75,80,60,65,90,102,6,FALSE
746,Espurr,Psychic,,355,62,48,54,63,60,68,6,FALSE
747,MeowsticMale,Psychic,,466,74,48,76,83,81,104,6,FALSE
748,MeowsticFemale,Psychic,,466,74,48,76,83,81,104,6,FALSE
749,Honedge,Steel,Ghost,325,45,80,100,35,37,28,6,FALSE
750,Doublade,Steel,Ghost,448,59,110,150,45,49,35,6,FALSE
751,AegislashBlade Forme,Steel,Ghost,520,60,150,50,150,50,60,6,FALSE
752,AegislashShield Forme,Steel,Ghost,520,60,50,150,50,150,60,6,FALSE
753,Spritzee,Fairy,,341,78,52,60,63,65,23,6,FALSE
754,Aromatisse,Fairy,,462,101,72,72,99,89,29,6,FALSE
755,Swirlix,Fairy,,341,62,48,66,59,57,49,6,FALSE
756,Slurpuff,Fairy,,480,82,80,86,85,75,72,6,FALSE
757,Inkay,Dark,Psychic,288,53,54,53,37,46,45,6,FALSE
758,Malamar,Dark,Psychic,482,86,92,88,68,75,73,6,FALSE
759,Binacle,Rock,Water,306,42,52,67,39,56,50,6,FALSE
760,Barbaracle,Rock,Water,500,72,105,115,54,86,68,6,FALSE
761,Skrelp,Poison,Water,320,50,60,60,60,60,30,6,FALSE
762,Dragalge,Poison,Dragon,494,65,75,90,97,123,44,6,FALSE
763,Clauncher,Water,,330,50,53,62,58,63,44,6,FALSE
764,Clawitzer,Water,,500,71,73,88,120,89,59,6,FALSE
765,Helioptile,Electric,Normal,289,44,38,33,61,43,70,6,FALSE
766,Heliolisk,Electric,Normal,481,62,55,52,109,94,109,6,FALSE
767,Tyrunt,Rock,Dragon,362,58,89,77,45,45,48,6,FALSE
768,Tyrantrum,Rock,Dragon,521,82,121,119,69,59,71,6,FALSE
769,Amaura,Rock,Ice,362,77,59,50,67,63,46,6,FALSE
770,Aurorus,Rock,Ice,521,123,77,72,99,92,58,6,FALSE
771,Sylveon,Fairy,,525,95,65,65,110,130,60,6,FALSE
